,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
&nbsp;,**CAC 40**,3.52,21.44,59.16,14.04,16.43,0.98
&nbsp;,&nbsp;,,,,,,
**Long Only**,Base Case (Dropout = 0.075),3.12,16.1,42.35,**5.38**,19.4,1.43
**Panel I: Dropout Rate**,Dropout = 0.05,**5.62**,16.79,**34.96**,5.52,**33.48**,**5.38**
,Dropout = 0.1,2.71,**14.56**,42.18,8.49,18.62,1.2
,&nbsp;,,,,,,
**Panel J: Batch Size**,Base Case (Batch Size = 32),3.12,16.1,42.35,5.38,19.4,1.43
,Batch Size = 16,3.22,**13.91**,**33.09**,4.06,**23.13**,**2.25**
,Batch Size = 64,**3.69**,16.98,40.42,**3.6**,21.74,1.99
,&nbsp;,,,,,,
