,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
&nbsp;,**FTSE 100**,2.39,18.03,47.83,5.94,13.27,0.66
&nbsp;,&nbsp;,,,,,,
**Long Only**,Base Case (Dropout = 0.075),**5.47**,13.79,**30.22**,**0.91**,**39.71**,**7.19**
**Panel E: Dropout Rate**,Dropout = 0.05,2.66,13.36,34.18,9.02,19.9,1.55
,Dropout = 0.1,2.85,**10.94**,31.62,8.88,26.1,2.35
,&nbsp;,,,,,,
**Panel F: Batch Size**,Base Case (Batch Size = 32),**5.47**,13.79,**30.22**,0.91,**39.71**,**7.19**
,Batch Size = 16,2.88,**13.63**,36.25,**0.73**,21.15,1.68
,Batch Size = 64,0.44,14.25,46.13,13.54,3.07,0.03
,&nbsp;,,,,,,
