,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
&nbsp;,**S&P 500**,7.52,19.58,56.78,1.65,38.43,5.09
&nbsp;,&nbsp;,,,,,,
**Long Only**,Base Case (Dropout = 0.075),**3.26**,13.14,41.83,9.8,24.83,1.94
**Panel A: Dropout Rate**,Dropout = 0.05,0.79,12.68,39.43,4.94,6.24,0.13
,Dropout = 0.1,2.87,**11.4**,**33.93**,**4.86**,**25.2**,**2.13**
,&nbsp;,,,,,,
**Panel B: Batch Size**,Base Case (Batch Size = 32),3.26,13.14,41.83,9.8,24.83,1.94
,Batch Size = 16,**5.37**,**10.45**,**24.07**,**3.96**,**51.37**,**11.46**
,Batch Size = 64,2.42,10.94,38.72,11.77,22.14,1.39
,&nbsp;,,,,,,
